Company_1_ID,Company_1_Name,Company_1_Domain,Company_1_City,Company_2_ID,Company_2_Name,Company_2_Domain,Company_2_City,Match_Type,Confidence_Score,Matching_Fields,Explanation,Survivor_Recommendation,Recommended_Action
45363960225,University of Pittsburgh (UPMC),upmc.edu,Somerset,50601554039,UPMC,upmc.com,Pittsburgh,deterministic_high,0.97,domain,Shared domain: upmc.com,45363960225,auto_merge
36898059540,Mercy,mercyhealth.com,Grand Rapids,45363960224,Trinity,trinity-health.org,Livonia,deterministic_high,0.97,domain,Shared domain: mercyhealth.com,45363960224,auto_merge
45363960224,Trinity,trinity-health.org,Livonia,9836916343,Mercy,mercy.com,Cincinnati,deterministic_high,0.97,domain,Shared domain: mercyhealth.com,45363960224,auto_merge
36898059540,Mercy,mercyhealth.com,Grand Rapids,9836916343,Mercy,mercy.com,Cincinnati,deterministic_high,0.97,domain,Shared domain: mercyhealth.com,36898059540,auto_merge
35590132113,MercyOne,mercyone.org,West Des Moines,45363960224,Trinity,trinity-health.org,Livonia,deterministic_high,0.97,domain,Shared domain: mercyone.org,45363960224,auto_merge
35590132113,MercyOne,mercyone.org,West Des Moines,9836916343,Mercy,mercy.com,Cincinnati,deterministic_high,0.97,domain,Shared domain: mercyone.org,35590132113,auto_merge
8108288913,Steward Care,steward.org,Boston,9930995074,Steward colombia,stewardcolombia.org,Dosquebradas,deterministic_high,0.97,domain,Shared domain: steward.org,8108288913,auto_merge
15450237314,Stanford Care,stanfordhealthcare.org,Palo Alto,35611093078,Stanford University,stanford.edu,Stanford,deterministic_high,0.97,domain,Shared domain: med.stanford.edu,35611093078,auto_merge
30409241767,Piedmont Atlanta,piedmont.org,Atlanta,39351912268,Piedmont,piedmont.org,Atlanta,deterministic_high,0.97,domain,Shared domain: piedmont.org,30409241767,auto_merge
9498115845,Luminis,luminishealth.org,Annapolis,9498206255,Anne Arundel,aahs.org,Annapolis,deterministic_high,0.97,domain,Shared domain: aahs.org,9498115845,auto_merge
30409402930,Inova Ambulatory Surgery Center,inova.org,Falls Church,35611098530,Inova,inova.org,Falls Church,deterministic_high,0.97,domain,Shared domain: inova.org,35611098530,auto_merge
39355938197,Huntsville,hhsys.org,,43403874866,Huntsville,hh.health,Culver City,deterministic_high,0.97,domain,Shared domain: hhsys.org,43403874866,auto_merge
